"tratamiento","outcome","n","prevalencia_tratamiento","ate_ipw","ate_aipw","ci_low","ci_high","p_value_boot","efecto_pp","ci_low_pp","ci_high_pp","significativo_05"
"t_corrupcion","y_aprueba",1226,0.806203895240189,-0.381329548631385,-0.252222617556026,-0.298903453489304,-0.195551897755845,0,-25.2222617556026,-29.8903453489304,-19.5551897755845,"Si"
"t_corrupcion","y_indec_dip",1298,0.803517662170854,0.0316323280693799,0.0323634341245949,-0.0605687942535329,0.1402113079593,0.464,3.23634341245949,-6.05687942535329,14.02113079593,"No"
"t_seguridad","y_aprueba",1226,0.438407203284255,0.0385654513455836,0.0311841425061799,-0.00796302253209566,0.0770682130867743,0.088,3.11841425061799,-0.796302253209566,7.70682130867743,"No"
"t_seguridad","y_indec_dip",1298,0.434782935418692,0.0116951924783416,0.00915073595864989,-0.0506385940676006,0.0820192447596023,0.728,0.915073595864989,-5.06385940676006,8.20192447596023,"No"
